2021-04-14 12:55:00.552 -03:00 [INF] Comenzando descarga...
2021-04-14 12:55:57.818 -03:00 [INF] Mb descargados 4.00

2021-04-14 12:55:57.818 -03:00 [INF] Mb descargados 8.00

2021-04-14 12:55:57.818 -03:00 [INF] Mb descargados 12.00

2021-04-14 12:55:57.818 -03:00 [INF] Mb descargados 16.00

2021-04-14 12:55:57.820 -03:00 [INF] Mb descargados 20.00

2021-04-14 12:56:44.487 -03:00 [INF] Mb descargados 24.00

2021-04-14 12:56:49.926 -03:00 [INF] Mb descargados 28.00

2021-04-14 12:56:52.110 -03:00 [INF] Mb descargados 32.00

2021-04-14 12:56:53.098 -03:00 [INF] Mb descargados 36.00

2021-04-14 12:56:53.103 -03:00 [INF] Mb descargados 40.00

2021-04-14 12:57:36.547 -03:00 [INF] Mb descargados 44.00

2021-04-14 12:57:44.391 -03:00 [INF] Mb descargados 48.00

2021-04-14 12:57:47.998 -03:00 [INF] Mb descargados 52.00

2021-04-14 12:57:50.068 -03:00 [INF] Mb descargados 56.00

2021-04-14 12:57:50.071 -03:00 [INF] Mb descargados 60.00

2021-04-14 12:58:33.134 -03:00 [INF] Mb descargados 64.00

2021-04-14 12:58:40.098 -03:00 [INF] Mb descargados 68.00

2021-04-14 12:58:43.485 -03:00 [INF] Mb descargados 72.00

2021-04-14 12:58:44.665 -03:00 [INF] Mb descargados 76.00

2021-04-14 12:58:44.671 -03:00 [INF] Mb descargados 80.00

2021-04-14 12:59:28.710 -03:00 [INF] Mb descargados 84.00

2021-04-14 12:59:34.540 -03:00 [INF] Mb descargados 88.00

2021-04-14 12:59:39.252 -03:00 [INF] Mb descargados 92.00

2021-04-14 12:59:40.614 -03:00 [INF] Mb descargados 96.00

2021-04-14 12:59:40.641 -03:00 [INF] Mb descargados 100.00

2021-04-14 13:03:41.711 -03:00 [ERR] 
La transferencia fue cancelada: Haciendo retry porque han pasado: 241 segundos sin transferencia
2021-04-14 13:03:41.747 -03:00 [INF] Mb descargados 100.00

2021-04-14 13:03:44.729 -03:00 [INF] Mb descargados 100.00

2021-04-14 13:04:41.124 -03:00 [INF] Mb descargados 104.00

2021-04-14 13:04:41.949 -03:00 [INF] Mb descargados 108.00

2021-04-14 13:04:41.951 -03:00 [INF] Mb descargados 112.00

2021-04-14 13:04:41.957 -03:00 [INF] Mb descargados 120.00

2021-04-14 13:04:41.954 -03:00 [INF] Mb descargados 116.00

2021-04-14 13:05:33.217 -03:00 [INF] Mb descargados 124.00

2021-04-14 13:05:34.083 -03:00 [INF] Mb descargados 128.00

2021-04-14 13:05:34.085 -03:00 [INF] Mb descargados 132.00

2021-04-14 13:05:38.017 -03:00 [INF] Mb descargados 136.00

2021-04-14 13:05:38.025 -03:00 [INF] Mb descargados 140.00

2021-04-14 13:06:27.879 -03:00 [INF] Mb descargados 144.00

2021-04-14 13:06:28.618 -03:00 [INF] Mb descargados 148.00

2021-04-14 13:06:29.268 -03:00 [INF] Mb descargados 152.00

2021-04-14 13:06:31.967 -03:00 [INF] Mb descargados 156.00

2021-04-14 13:06:31.969 -03:00 [INF] Mb descargados 160.00

2021-04-14 13:07:20.744 -03:00 [INF] Mb descargados 164.00

2021-04-14 13:07:23.349 -03:00 [INF] Mb descargados 168.00

2021-04-14 13:07:26.672 -03:00 [INF] Mb descargados 172.00

2021-04-14 13:07:26.796 -03:00 [INF] Mb descargados 176.00

2021-04-14 13:07:29.833 -03:00 [INF] Mb descargados 180.00

2021-04-14 13:08:35.766 -03:00 [INF] Mb descargados 184.00

2021-04-14 13:08:35.768 -03:00 [INF] Mb descargados 188.00

2021-04-14 13:08:35.772 -03:00 [INF] Mb descargados 196.00

2021-04-14 13:08:35.776 -03:00 [INF] Mb descargados 200.00

2021-04-14 13:08:35.770 -03:00 [INF] Mb descargados 192.00

2021-04-14 13:09:10.230 -03:00 [INF] Mb descargados 204.00

2021-04-14 13:09:14.923 -03:00 [INF] Mb descargados 208.00

2021-04-14 13:09:18.741 -03:00 [INF] Mb descargados 212.00

2021-04-14 13:09:19.746 -03:00 [INF] Mb descargados 216.00

2021-04-14 13:09:29.130 -03:00 [INF] Mb descargados 220.00

2021-04-14 13:10:05.159 -03:00 [INF] Mb descargados 224.00

2021-04-14 13:10:06.861 -03:00 [INF] Mb descargados 228.00

2021-04-14 13:10:13.224 -03:00 [INF] Mb descargados 232.00

2021-04-14 13:10:16.682 -03:00 [INF] Mb descargados 236.00

2021-04-14 13:10:21.360 -03:00 [INF] Mb descargados 240.00

2021-04-14 13:11:00.215 -03:00 [INF] Mb descargados 244.00

2021-04-14 13:11:00.241 -03:00 [INF] Mb descargados 248.00

2021-04-14 13:11:09.170 -03:00 [INF] Mb descargados 252.00

2021-04-14 13:11:12.028 -03:00 [INF] Mb descargados 256.00

2021-04-14 13:11:13.768 -03:00 [INF] Mb descargados 260.00

2021-04-14 13:11:51.861 -03:00 [INF] Mb descargados 264.00

2021-04-14 13:11:55.826 -03:00 [INF] Mb descargados 268.00

2021-04-14 13:12:02.290 -03:00 [INF] Mb descargados 272.00

2021-04-14 13:12:08.013 -03:00 [INF] Mb descargados 276.00

2021-04-14 13:12:08.015 -03:00 [INF] Mb descargados 280.00

2021-04-14 13:13:20.257 -03:00 [INF] Mb descargados 284.00

2021-04-14 13:13:20.260 -03:00 [INF] Mb descargados 288.00

2021-04-14 13:13:20.262 -03:00 [INF] Mb descargados 292.00

2021-04-14 13:13:20.268 -03:00 [INF] Mb descargados 300.00

2021-04-14 13:13:20.264 -03:00 [INF] Mb descargados 296.00

2021-04-14 13:17:21.320 -03:00 [ERR] 
