2021-04-14 16:07:17.922 -03:00 [INF] Mb descargados 340.00

2021-04-14 16:07:43.566 -03:00 [INF] Mb descargados 344.00

2021-04-14 16:07:57.810 -03:00 [INF] Mb descargados 348.00

2021-04-14 16:08:02.155 -03:00 [INF] Mb descargados 352.00

2021-04-14 16:08:07.767 -03:00 [INF] Mb descargados 356.00

2021-04-14 16:08:13.814 -03:00 [INF] Mb descargados 360.00

2021-04-14 16:08:36.158 -03:00 [INF] Mb descargados 364.00

2021-04-14 16:08:52.915 -03:00 [INF] Mb descargados 368.00

2021-04-14 16:08:56.007 -03:00 [INF] Mb descargados 372.00

2021-04-14 16:09:02.462 -03:00 [INF] Mb descargados 376.00

2021-04-14 16:09:09.291 -03:00 [INF] Mb descargados 380.00

2021-04-14 16:09:29.805 -03:00 [INF] Mb descargados 384.00

2021-04-14 16:09:47.033 -03:00 [INF] Mb descargados 388.00

2021-04-14 16:09:50.911 -03:00 [INF] Mb descargados 392.00

2021-04-14 16:09:59.486 -03:00 [INF] Mb descargados 396.00

2021-04-14 16:10:05.191 -03:00 [INF] Mb descargados 400.00

2021-04-14 16:10:26.211 -03:00 [INF] Mb descargados 404.00

2021-04-14 16:10:39.934 -03:00 [INF] Mb descargados 408.00

2021-04-14 16:10:43.377 -03:00 [INF] Mb descargados 412.00

2021-04-14 16:10:55.255 -03:00 [INF] Mb descargados 416.00

2021-04-14 16:11:01.149 -03:00 [INF] Mb descargados 420.00

2021-04-14 16:11:21.337 -03:00 [INF] Mb descargados 424.00

2021-04-14 16:11:36.547 -03:00 [INF] Mb descargados 428.00

2021-04-14 16:11:37.343 -03:00 [INF] Mb descargados 432.00

2021-04-14 16:11:49.366 -03:00 [INF] Mb descargados 436.00

2021-04-14 16:11:57.214 -03:00 [INF] Mb descargados 440.00

2021-04-14 16:12:14.415 -03:00 [INF] Mb descargados 444.00

2021-04-14 16:12:34.554 -03:00 [INF] Mb descargados 448.00

2021-04-14 16:12:34.556 -03:00 [INF] Mb descargados 452.00

2021-04-14 16:12:46.280 -03:00 [INF] Mb descargados 456.00

2021-04-14 16:12:53.669 -03:00 [INF] Mb descargados 460.00

2021-04-14 16:13:09.149 -03:00 [INF] Mb descargados 464.00

2021-04-14 16:13:27.181 -03:00 [INF] Mb descargados 468.00

2021-04-14 16:13:27.184 -03:00 [INF] Mb descargados 472.00

2021-04-14 16:13:41.465 -03:00 [INF] Mb descargados 476.00

2021-04-14 16:13:49.195 -03:00 [INF] Mb descargados 480.00

2021-04-14 16:14:02.922 -03:00 [INF] Mb descargados 484.00

2021-04-14 16:14:21.000 -03:00 [INF] Mb descargados 488.00

2021-04-14 16:14:21.002 -03:00 [INF] Mb descargados 492.00

2021-04-14 16:14:36.214 -03:00 [INF] Mb descargados 496.00

2021-04-14 16:14:45.488 -03:00 [INF] Mb descargados 500.00

2021-04-14 16:15:31.071 -03:00 [INF] Mb descargados 504.00

2021-04-14 16:15:31.073 -03:00 [INF] Mb descargados 508.00

2021-04-14 16:15:31.081 -03:00 [INF] Mb descargados 516.00

2021-04-14 16:15:31.077 -03:00 [INF] Mb descargados 512.00

2021-04-14 16:15:41.057 -03:00 [INF] Mb descargados 520.00

2021-04-14 16:16:10.796 -03:00 [INF] Mb descargados 524.00

2021-04-14 16:16:12.692 -03:00 [INF] Mb descargados 528.00

2021-04-14 16:16:26.251 -03:00 [INF] Mb descargados 532.00

2021-04-14 16:16:58.341 -03:00 [INF] Mb descargados 536.00

2021-04-14 16:16:58.343 -03:00 [INF] Mb descargados 540.00

2021-04-14 16:17:06.599 -03:00 [INF] Mb descargados 544.00

2021-04-14 16:17:06.601 -03:00 [INF] Mb descargados 548.00

2021-04-14 16:17:22.113 -03:00 [INF] Mb descargados 552.00

2021-04-14 16:17:30.436 -03:00 [INF] Mb descargados 556.00

2021-04-14 16:17:56.849 -03:00 [INF] Mb descargados 560.00

2021-04-14 16:17:59.618 -03:00 [INF] Mb descargados 564.00

2021-04-14 16:18:01.298 -03:00 [INF] Mb descargados 568.00

2021-04-14 16:18:17.151 -03:00 [INF] Mb descargados 572.00

2021-04-14 16:18:26.594 -03:00 [INF] Mb descargados 576.00

2021-04-14 16:18:56.115 -03:00 [INF] Mb descargados 580.00

2021-04-14 16:18:56.117 -03:00 [INF] Mb descargados 584.00

2021-04-14 16:18:56.119 -03:00 [INF] Mb descargados 588.00

2021-04-14 16:19:12.392 -03:00 [INF] Mb descargados 592.00

2021-04-14 16:19:20.909 -03:00 [INF] Mb descargados 596.00

2021-04-14 16:19:49.264 -03:00 [INF] Mb descargados 600.00

2021-04-14 16:19:49.807 -03:00 [INF] Mb descargados 604.00

2021-04-14 16:19:53.927 -03:00 [INF] Mb descargados 608.00

2021-04-14 16:20:08.796 -03:00 [INF] Mb descargados 612.00

2021-04-14 16:20:14.516 -03:00 [INF] Mb descargados 616.00

2021-04-14 16:20:42.342 -03:00 [INF] Mb descargados 620.00

2021-04-14 16:20:45.753 -03:00 [INF] Mb descargados 624.00

2021-04-14 16:20:49.575 -03:00 [INF] Mb descargados 628.00

2021-04-14 16:21:03.793 -03:00 [INF] Mb descargados 632.00

2021-04-14 16:21:09.450 -03:00 [INF] Mb descargados 636.00

2021-04-14 16:21:09.452 -03:00 [INF] Mb descargados 637.00

2021-04-14 16:21:09.455 -03:00 [INF] Mb descargados 637.00

2021-04-14 16:21:09.458 -03:00 [INF] 
 *******Operacion de transferencia completada con exito 2014.9133315 segundos ******
2021-04-14 16:21:38.144 -03:00 [INF] El largo del archivo es: 637 mb
2021-04-14 16:21:38.158 -03:00 [INF] El tiempo en seg tomado es: : 2043 segundos
2021-04-14 16:21:38.169 -03:00 [INF] El tiempo en min tomado es: : 34 minutos
2021-04-14 16:21:38.178 -03:00 [INF] Comenzando a copiar el archivo a memoria
2021-04-14 16:25:14.749 -03:00 [INF] El tiempo tomado en importar el CSV en memoria es:  3 minutos
2021-04-14 16:25:14.777 -03:00 [INF] Comenzando a copiar el archivo a la BD
2021-04-14 16:30:52.987 -03:00 [INF] Fin de copiado del archivo a la BD!
2021-04-14 16:30:53.001 -03:00 [INF] El tiempo tomado en importar el CSV en seg es:  338 segundos
2021-04-14 16:30:53.012 -03:00 [INF] El tiempo tomado en importar el CSV en min es:  5 minutos
