2021-04-14 21:05:54.582 -03:00 [INF] Mb descargados 348.00

2021-04-14 21:05:54.580 -03:00 [INF] Mb descargados 344.00

2021-04-14 21:05:58.492 -03:00 [INF] Mb descargados 352.00

2021-04-14 21:06:03.441 -03:00 [INF] Mb descargados 356.00

2021-04-14 21:06:18.094 -03:00 [INF] Mb descargados 360.00

2021-04-14 21:06:23.380 -03:00 [INF] Mb descargados 364.00

2021-04-14 21:06:27.926 -03:00 [INF] Mb descargados 368.00

2021-04-14 21:06:32.092 -03:00 [INF] Mb descargados 372.00

2021-04-14 21:06:33.373 -03:00 [INF] Mb descargados 376.00

2021-04-14 21:06:55.870 -03:00 [INF] Mb descargados 380.00

2021-04-14 21:06:59.304 -03:00 [INF] Mb descargados 384.00

2021-04-14 21:07:31.600 -03:00 [INF] Mb descargados 388.00

2021-04-14 21:07:31.603 -03:00 [INF] Mb descargados 392.00

2021-04-14 21:07:31.609 -03:00 [INF] Mb descargados 400.00

2021-04-14 21:07:31.606 -03:00 [INF] Mb descargados 396.00

2021-04-14 21:07:34.927 -03:00 [INF] Mb descargados 404.00

2021-04-14 21:07:49.209 -03:00 [INF] Mb descargados 408.00

2021-04-14 21:07:49.213 -03:00 [INF] Mb descargados 416.00

2021-04-14 21:07:49.211 -03:00 [INF] Mb descargados 412.00

2021-04-14 21:08:07.400 -03:00 [INF] Mb descargados 420.00

2021-04-14 21:08:28.967 -03:00 [INF] Mb descargados 424.00

2021-04-14 21:08:28.969 -03:00 [INF] Mb descargados 428.00

2021-04-14 21:08:36.817 -03:00 [INF] Mb descargados 432.00

2021-04-14 21:08:36.819 -03:00 [INF] Mb descargados 436.00

2021-04-14 21:08:36.821 -03:00 [INF] Mb descargados 440.00

2021-04-14 21:08:44.279 -03:00 [INF] Mb descargados 444.00

2021-04-14 21:08:51.592 -03:00 [INF] Mb descargados 448.00

2021-04-14 21:08:57.316 -03:00 [INF] Mb descargados 452.00

2021-04-14 21:09:11.457 -03:00 [INF] Mb descargados 456.00

2021-04-14 21:09:16.894 -03:00 [INF] Mb descargados 460.00

2021-04-14 21:09:18.552 -03:00 [INF] Mb descargados 464.00

2021-04-14 21:09:26.777 -03:00 [INF] Mb descargados 468.00

2021-04-14 21:09:33.003 -03:00 [INF] Mb descargados 472.00

2021-04-14 21:09:50.847 -03:00 [INF] Mb descargados 476.00

2021-04-14 21:09:55.358 -03:00 [INF] Mb descargados 480.00

2021-04-14 21:09:55.359 -03:00 [INF] Mb descargados 484.00

2021-04-14 21:10:01.291 -03:00 [INF] Mb descargados 488.00

2021-04-14 21:10:13.683 -03:00 [INF] Mb descargados 492.00

2021-04-14 21:10:26.549 -03:00 [INF] Mb descargados 496.00

2021-04-14 21:10:31.452 -03:00 [INF] Mb descargados 500.00

2021-04-14 21:10:32.900 -03:00 [INF] Mb descargados 504.00

2021-04-14 21:10:37.807 -03:00 [INF] Mb descargados 508.00

2021-04-14 21:10:49.094 -03:00 [INF] Mb descargados 512.00

2021-04-14 21:11:10.838 -03:00 [INF] Mb descargados 516.00

2021-04-14 21:11:11.359 -03:00 [INF] Mb descargados 520.00

2021-04-14 21:11:15.036 -03:00 [INF] Mb descargados 524.00

2021-04-14 21:11:17.371 -03:00 [INF] Mb descargados 528.00

2021-04-14 21:11:29.259 -03:00 [INF] Mb descargados 532.00

2021-04-14 21:15:30.329 -03:00 [ERR] 
La transferencia fue cancelada: Haciendo retry porque han pasado: 241 segundos sin transferencia
2021-04-14 21:15:30.399 -03:00 [INF] Mb descargados 532.00

2021-04-14 21:15:33.345 -03:00 [INF] Mb descargados 532.00

2021-04-14 21:16:38.693 -03:00 [INF] Mb descargados 536.00

2021-04-14 21:16:38.696 -03:00 [INF] Mb descargados 540.00

2021-04-14 21:16:38.698 -03:00 [INF] Mb descargados 544.00

2021-04-14 21:16:48.856 -03:00 [INF] Mb descargados 548.00

