2021-04-12 20:50:19.289 -03:00 [INF] Mb descargados 352.00

2021-04-12 20:50:25.308 -03:00 [INF] Mb descargados 356.00

2021-04-12 20:50:39.625 -03:00 [INF] Mb descargados 360.00

2021-04-12 20:50:57.917 -03:00 [INF] Mb descargados 364.00

2021-04-12 20:51:06.769 -03:00 [INF] Mb descargados 368.00

2021-04-12 20:51:17.424 -03:00 [INF] Mb descargados 372.00

2021-04-12 20:51:24.533 -03:00 [INF] Mb descargados 376.00

2021-04-12 20:51:38.625 -03:00 [INF] Mb descargados 380.00

2021-04-12 20:51:55.931 -03:00 [INF] Mb descargados 384.00

2021-04-12 20:52:04.237 -03:00 [INF] Mb descargados 388.00

2021-04-12 20:52:16.373 -03:00 [INF] Mb descargados 392.00

2021-04-12 20:52:22.547 -03:00 [INF] Mb descargados 396.00

2021-04-12 20:52:34.630 -03:00 [INF] Mb descargados 400.00

2021-04-12 20:52:52.621 -03:00 [INF] Mb descargados 404.00

2021-04-12 20:53:00.028 -03:00 [INF] Mb descargados 408.00

2021-04-12 20:53:14.822 -03:00 [INF] Mb descargados 412.00

2021-04-12 20:53:20.696 -03:00 [INF] Mb descargados 416.00

2021-04-12 20:53:30.830 -03:00 [INF] Mb descargados 420.00

2021-04-12 20:53:44.250 -03:00 [INF] Mb descargados 424.00

2021-04-12 20:53:56.365 -03:00 [INF] Mb descargados 428.00

2021-04-12 20:54:11.940 -03:00 [INF] Mb descargados 432.00

2021-04-12 20:54:18.455 -03:00 [INF] Mb descargados 436.00

2021-04-12 20:54:26.902 -03:00 [INF] Mb descargados 440.00

2021-04-12 20:54:41.157 -03:00 [INF] Mb descargados 444.00

2021-04-12 20:54:52.374 -03:00 [INF] Mb descargados 448.00

2021-04-12 20:55:06.981 -03:00 [INF] Mb descargados 452.00

2021-04-12 20:55:16.665 -03:00 [INF] Mb descargados 456.00

2021-04-12 20:55:23.137 -03:00 [INF] Mb descargados 460.00

2021-04-12 20:55:37.304 -03:00 [INF] Mb descargados 464.00

2021-04-12 20:55:48.181 -03:00 [INF] Mb descargados 468.00

2021-04-12 20:56:04.756 -03:00 [INF] Mb descargados 472.00

2021-04-12 20:56:14.894 -03:00 [INF] Mb descargados 476.00

2021-04-12 20:56:56.094 -03:00 [INF] Mb descargados 480.00

2021-04-12 20:56:56.098 -03:00 [INF] Mb descargados 484.00

2021-04-12 20:56:56.100 -03:00 [INF] Mb descargados 488.00

2021-04-12 20:57:04.185 -03:00 [INF] Mb descargados 492.00

2021-04-12 20:57:12.225 -03:00 [INF] Mb descargados 496.00

2021-04-12 20:58:23.947 -03:00 [INF] Mb descargados 500.00

2021-04-12 20:58:23.951 -03:00 [INF] Mb descargados 504.00

2021-04-12 20:58:23.955 -03:00 [INF] Mb descargados 508.00

2021-04-12 20:58:23.958 -03:00 [INF] Mb descargados 512.00

2021-04-12 20:58:23.963 -03:00 [INF] Mb descargados 516.00

2021-04-12 20:58:39.531 -03:00 [INF] Mb descargados 520.00

2021-04-12 20:58:53.515 -03:00 [INF] Mb descargados 524.00

2021-04-12 20:58:57.204 -03:00 [INF] Mb descargados 528.00

2021-04-12 20:59:06.446 -03:00 [INF] Mb descargados 532.00

2021-04-12 20:59:23.823 -03:00 [INF] Mb descargados 536.00

2021-04-12 20:59:36.830 -03:00 [INF] Mb descargados 540.00

2021-04-12 20:59:52.961 -03:00 [INF] Mb descargados 544.00

2021-04-12 20:59:54.716 -03:00 [INF] Mb descargados 548.00

2021-04-12 21:00:06.447 -03:00 [INF] Mb descargados 552.00

2021-04-12 21:00:21.352 -03:00 [INF] Mb descargados 556.00

2021-04-12 21:00:35.272 -03:00 [INF] Mb descargados 560.00

2021-04-12 21:00:53.426 -03:00 [INF] Mb descargados 564.00

2021-04-12 21:00:55.432 -03:00 [INF] Mb descargados 568.00

2021-04-12 21:01:09.406 -03:00 [INF] Mb descargados 572.00

2021-04-12 21:01:19.640 -03:00 [INF] Mb descargados 576.00

2021-04-12 21:01:29.327 -03:00 [INF] Mb descargados 580.00

2021-04-12 21:01:54.195 -03:00 [INF] Mb descargados 584.00

2021-04-12 21:01:54.199 -03:00 [INF] Mb descargados 588.00

2021-04-12 21:02:09.110 -03:00 [INF] Mb descargados 592.00

2021-04-12 21:02:17.107 -03:00 [INF] Mb descargados 596.00

2021-04-12 21:16:29.355 -03:00 [INF] Mb descargados 596.00

2021-04-12 21:16:29.512 -03:00 [ERR] System.AggregateException: One or more errors occurred. (The transfer failed.)
 ---> Microsoft.Azure.Storage.DataMovement.TransferException: The transfer failed.
 ---> Microsoft.Azure.Storage.StorageException: The client could not finish the operation within specified timeout.
 ---> System.TimeoutException: The client could not finish the operation within specified timeout.
 ---> System.Threading.Tasks.TaskCanceledException: The operation was canceled.
 ---> System.IO.IOException: Unable to read data from the transport connection: The I/O operation has been aborted because of either a thread exit or an application request..
 ---> System.Net.Sockets.SocketException (995): The I/O operation has been aborted because of either a thread exit or an application request.
   --- End of inner exception stack trace ---
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken)
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.GetResult(Int16 token)
   at System.Net.Http.HttpConnection.ReadAsync(Memory`1 destination)
   at System.Net.Http.HttpConnection.RawConnectionStream.ReadAsync(Memory`1 buffer, CancellationToken cancellationToken)
   at System.Net.Security.SslStream.<FillBufferAsync>g__InternalFillBufferAsync|215_0[TReadAdapter](TReadAdapter adap, ValueTask`1 task, Int32 min, Int32 initial)
   at System.Net.Security.SslStream.ReadAsyncInternal[TReadAdapter](TReadAdapter adapter, Memory`1 buffer)
   at System.Net.Http.HttpConnection.SendAsyncCore(HttpRequestMessage request, CancellationToken cancellationToken)
   --- End of inner exception stack trace ---
   at System.Net.Http.HttpConnection.SendAsyncCore(HttpRequestMessage request, CancellationToken cancellationToken)
   at System.Net.Http.HttpConnectionPool.SendWithNtConnectionAuthAsync(HttpConnection connection, HttpRequestMessage request, Boolean doRequestAuth, CancellationToken cancellationToken)
   at System.Net.Http.HttpConnectionPool.SendWithRetryAsync(HttpRequestMessage request, Boolean doRequestAuth, CancellationToken cancellationToken)
   at System.Net.Http.RedirectHandler.SendAsync(HttpRequestMessage request, CancellationToken cancellationToken)
   at System.Net.Http.HttpClient.FinishSendAsyncUnbuffered(Task`1 sendTask, HttpRequestMessage request, CancellationTokenSource cts, Boolean disposeCts)
   at Microsoft.Azure.Storage.Core.Executor.Executor.ExecuteAsync[T](RESTCommand`1 cmd, IRetryPolicy policy, OperationContext operationContext, CancellationToken token)
   --- End of inner exception stack trace ---
   --- End of inner exception stack trace ---
   at Microsoft.Azure.Storage.Core.Executor.Executor.ExecuteAsync[T](RESTCommand`1 cmd, IRetryPolicy policy, OperationContext operationContext, CancellationToken token)
   at Microsoft.Azure.Storage.DataMovement.TransferControllers.BlockBasedBlobReader.DownloadChunkAsync(ReadDataState asyncState)
   at Microsoft.Azure.Storage.DataMovement.TransferControllers.BlockBasedBlobReader.DownloadBlockBlobAsync()
