2021-04-12 22:27:41.362 -03:00 [INF] Comenzando descarga...
2021-04-12 22:28:24.508 -03:00 [INF] Mb descargados 8.00

2021-04-12 22:28:24.508 -03:00 [INF] Mb descargados 4.00

2021-04-12 22:28:34.495 -03:00 [INF] Mb descargados 12.00

2021-04-12 22:28:34.500 -03:00 [INF] Mb descargados 16.00

2021-04-12 22:28:34.503 -03:00 [INF] Mb descargados 20.00

2021-04-12 22:28:48.477 -03:00 [INF] Mb descargados 24.00

2021-04-12 22:28:58.957 -03:00 [INF] Mb descargados 28.00

2021-04-12 22:28:58.960 -03:00 [INF] Mb descargados 32.00

2021-04-12 22:28:59.889 -03:00 [INF] Mb descargados 36.00

2021-04-12 22:29:16.374 -03:00 [INF] Mb descargados 40.00

2021-04-12 22:29:22.494 -03:00 [INF] Mb descargados 44.00

2021-04-12 22:29:23.593 -03:00 [INF] Mb descargados 48.00

2021-04-12 22:29:32.675 -03:00 [INF] Mb descargados 52.00

2021-04-12 22:29:32.679 -03:00 [INF] Mb descargados 56.00

2021-04-12 22:29:59.486 -03:00 [INF] Mb descargados 60.00

2021-04-12 22:29:59.488 -03:00 [INF] Mb descargados 64.00

2021-04-12 22:29:59.491 -03:00 [INF] Mb descargados 68.00

2021-04-12 22:30:02.488 -03:00 [INF] Mb descargados 72.00

2021-04-12 22:30:03.963 -03:00 [INF] Mb descargados 76.00

2021-04-12 22:30:25.315 -03:00 [INF] Mb descargados 80.00

2021-04-12 22:30:36.749 -03:00 [INF] Mb descargados 84.00

2021-04-12 22:30:36.754 -03:00 [INF] Mb descargados 88.00

2021-04-12 22:30:36.757 -03:00 [INF] Mb descargados 92.00

2021-04-12 22:30:36.760 -03:00 [INF] Mb descargados 96.00

2021-04-12 22:30:48.912 -03:00 [INF] Mb descargados 100.00

2021-04-12 22:31:15.082 -03:00 [INF] Mb descargados 104.00

2021-04-12 22:31:15.085 -03:00 [INF] Mb descargados 108.00

2021-04-12 22:31:15.087 -03:00 [INF] Mb descargados 112.00

2021-04-12 22:31:15.090 -03:00 [INF] Mb descargados 116.00

2021-04-12 22:31:15.093 -03:00 [INF] Mb descargados 120.00

2021-04-12 22:31:36.354 -03:00 [INF] Mb descargados 124.00

2021-04-12 22:31:38.103 -03:00 [INF] Mb descargados 128.00

2021-04-12 22:31:40.982 -03:00 [INF] Mb descargados 132.00

2021-04-12 22:31:40.987 -03:00 [INF] Mb descargados 136.00

2021-04-12 22:31:41.730 -03:00 [INF] Mb descargados 140.00

2021-04-12 22:32:04.507 -03:00 [INF] Mb descargados 144.00

2021-04-12 22:32:04.510 -03:00 [INF] Mb descargados 148.00

2021-04-12 22:32:10.048 -03:00 [INF] Mb descargados 152.00

2021-04-12 22:32:12.424 -03:00 [INF] Mb descargados 156.00

2021-04-12 22:32:12.426 -03:00 [INF] Mb descargados 160.00

2021-04-12 22:32:34.928 -03:00 [INF] Mb descargados 164.00

2021-04-12 22:32:40.173 -03:00 [INF] Mb descargados 168.00

2021-04-12 22:32:40.176 -03:00 [INF] Mb descargados 172.00

2021-04-12 22:32:48.856 -03:00 [INF] Mb descargados 176.00

2021-04-12 22:32:59.236 -03:00 [INF] Mb descargados 180.00

2021-04-12 22:33:12.842 -03:00 [INF] Mb descargados 184.00

2021-04-12 22:33:14.254 -03:00 [INF] Mb descargados 188.00

2021-04-12 22:33:15.027 -03:00 [INF] Mb descargados 192.00

2021-04-12 22:33:23.296 -03:00 [INF] Mb descargados 196.00

2021-04-12 22:33:42.692 -03:00 [INF] Mb descargados 200.00

2021-04-12 22:33:50.865 -03:00 [INF] Mb descargados 204.00

2021-04-12 22:33:57.249 -03:00 [INF] Mb descargados 208.00

2021-04-12 22:33:57.252 -03:00 [INF] Mb descargados 212.00

2021-04-12 22:33:57.254 -03:00 [INF] Mb descargados 216.00

2021-04-12 22:34:25.132 -03:00 [INF] Mb descargados 220.00

2021-04-12 22:34:29.874 -03:00 [INF] Mb descargados 224.00

2021-04-12 22:34:31.679 -03:00 [INF] Mb descargados 228.00

2021-04-12 22:34:39.353 -03:00 [INF] Mb descargados 232.00

2021-04-12 22:34:39.357 -03:00 [INF] Mb descargados 236.00

2021-04-12 22:35:11.819 -03:00 [INF] Mb descargados 240.00

2021-04-12 22:35:11.822 -03:00 [INF] Mb descargados 244.00

2021-04-12 22:35:11.824 -03:00 [INF] Mb descargados 248.00

2021-04-12 22:35:11.828 -03:00 [INF] Mb descargados 252.00

2021-04-12 22:35:19.201 -03:00 [INF] Mb descargados 256.00

2021-04-12 22:35:50.522 -03:00 [INF] Mb descargados 260.00

2021-04-12 22:35:51.113 -03:00 [INF] Mb descargados 264.00

2021-04-12 22:35:54.898 -03:00 [INF] Mb descargados 268.00

2021-04-12 22:36:05.131 -03:00 [INF] Mb descargados 272.00

2021-04-12 22:36:05.133 -03:00 [INF] Mb descargados 276.00

2021-04-12 22:36:36.304 -03:00 [INF] Mb descargados 280.00

2021-04-12 22:36:36.306 -03:00 [INF] Mb descargados 284.00

2021-04-12 22:36:36.827 -03:00 [INF] Mb descargados 288.00

2021-04-12 22:36:42.462 -03:00 [INF] Mb descargados 292.00

2021-04-12 22:36:52.155 -03:00 [INF] Mb descargados 296.00

2021-04-12 22:37:20.395 -03:00 [INF] Mb descargados 300.00

2021-04-12 22:37:20.399 -03:00 [INF] Mb descargados 304.00

2021-04-12 22:37:23.594 -03:00 [INF] Mb descargados 308.00

2021-04-12 22:37:26.510 -03:00 [INF] Mb descargados 312.00

2021-04-12 22:37:51.005 -03:00 [INF] Mb descargados 316.00

2021-04-12 22:38:04.150 -03:00 [INF] Mb descargados 320.00

